"id";"condition";"category";"sector";"text1";"text2";"comment"
"snow";"(temp_djf_iamean_s0p_hist <= -6)";;;"Internal rule";"Hamlet et al. (2007) broadly characterized snowmelt dominant basins as those with DJF < -6&deg;C, hybrid basins as those with DJF between -6&deg;C and 5&deg;C, and rain dominant basins those with a DJF exceeding 5&deg;C. Snow dominated basins are defined for this purpose as basins where the spatial median of temperature is less than or equal to -6&deg;C.";"internal snow rule"
"hybrid";"((temp_djf_iamean_s0p_hist <= -6) && (temp_djf_iamean_s100p_hist >= -6)) || ((temp_djf_iamean_s0p_hist <= 5) && (temp_djf_iamean_s100p_hist >= 5)) || ((temp_djf_iamean_s0p_hist >= -6) && (temp_djf_iamean_s100p_hist <= 5))";;;"Internal rule";"Hybrid basins are basins which spatially vary sufficiently that they include temperature values between -6&deg;C and +5&deg;C.";"internal Hybrid rule"
"rain";"(temp_djf_iamean_s100p_hist >= 5)";;;"Internal rule";"Rain-dominated basins are defined as basins where the spatial median temperature is greater than +5&deg;C; as per Hamlet et al.";"internal Rain rule"
"future-snow";"(temp_djf_iamean_s0p_hist + temp_djf_iamean_s0p_e25p <= -6)";;;"Internal rule";"Internal rule";"internal future Snow rule"
"future-hybrid";"((temp_djf_iamean_s0p_hist + temp_djf_iamean_s0p_e25p <= -6) && (temp_djf_iamean_s100p_hist + temp_djf_iamean_s100p_e75p >= -6)) || ((temp_djf_iamean_s0p_hist + temp_djf_iamean_s0p_e25p <= 5) && (temp_djf_iamean_s100p_hist + temp_djf_iamean_s100p_e75p >= 5)) || ((temp_djf_iamean_s0p_hist + temp_djf_iamean_s0p_e75p >= -6) && (temp_djf_iamean_s100p_hist + temp_djf_iamean_s100p_e25p <= 5))";;;"Internal rule";"Internal rule";"internal Hybrid rule"
"future-rain";"(temp_djf_iamean_s100p_hist + temp_djf_iamean_s100p_e75p >= 5)";;;"Internal rule";"Internal rule";"internal Rain rule"
"shm";"(temp_jul_iamean_smean_hist / ((prec_jja_iamean_smean_hist / 1000) * 92))";;;"Internal rule";"The Summer Heat-to-Moisture index, or SH:M, is an index that defines roughly how dry conditions are. Higher numbers indicate drier conditions.";"internal summer heat:moisture rule"
"1a-i-hydro";"((((prec_djf_iamean_smean_e25p / 100) * prec_djf_iamean_smean_hist) > prec_djf_iastddev_smean_hist) || (((prec_mam_iamean_smean_e25p / 100) * prec_mam_iamean_smean_hist) > prec_mam_iastddev_smean_hist) || (((prec_jja_iamean_smean_e25p / 100) * prec_jja_iamean_smean_hist) > prec_jja_iastddev_smean_hist) || (((prec_son_iamean_smean_e25p / 100) * prec_son_iamean_smean_hist) > prec_son_iastddev_smean_hist))";"Possible Flooding";"Hydrology";"Higher intensity and/or frequency of seasonal precipitation";"If high intensity rainfall has been an issue already, then:<ul><li>Stormwater design standard may no longer be adequate for new construction.</li><li>Existing drainage infrastructure may need capacity increases or augmenting with retention ponds.</li><li>Seasonal water quality may be reduced due to higher sediment load where intense precipitation causes increased soil erosion.</li><li>Combined sewer overflows may become more frequent.</li><li>Stream bank erosion may increase.</li></ul>";
"1a-ii-infra";"((rule_hybrid || rule_rain) && ((prec_djf_iamean_smean_e25p / 100) * prec_djf_iamean_smean_hist) > prec_djf_iastddev_smean_hist) || (((prec_mam_iamean_smean_e25p / 100) * prec_mam_iamean_smean_hist) > prec_mam_iastddev_smean_hist) || (((prec_jja_iamean_smean_e25p / 100) * prec_jja_iamean_smean_hist) > prec_jja_iastddev_smean_hist) || (((prec_son_iamean_smean_e25p / 100) * prec_son_iamean_smean_hist) > prec_son_iastddev_smean_hist)";"High Intensity Precipitation";"Infrastructure";"Higher intensity and/or frequency of rainfall events";"<ul><li>Drainage appliances' design capacity may be exceeded.</li><li>Road safety may be reduced due to increased ponding and hydroplaning.</li><li>Road crest design may require modification to shed water more quickly.</li><li>Increased risk of flooding.</li><li>Mud, debris, or earth flow frequency may increase.</li></ul>";"same as 1a-i-hydro but only djf if not a snow basin."
"1a-iii-infra";"rule_1a-i-hydro ";"High Intensity Precipitation";"Infrastructure";"Increase debris flow risk";"<ul><li>Higher frequency of intense rainfall events increases the risk of mud/debris/earth flows.</li></ul>";"Quit renaming shit, Trevor"
